Tool Name,Story,Works with,No.of actions,Author
Jira Software,Triage Slack help desk queries,"Jira Software, Slack",28,null
Jira Software,Analyze vulnerabilities from JupiterOne by severity,"Jira Software, JupiterOne, Slack",30,null
Jira Software,"Handle, enrich and notify teams of new Qualys alerts","Jira Software, Qualys, Slack",20,null
Jira Software,Investigate & remediate critical container vulnerabilities in Aqua Security Cloud Workload Protection Platform,"Aqua Security, Jira Software",24,null
Jira Software,Monitor large downloads by employees in Netskope and create Jira issues,"Jira Software, Netskope",11,Michael Tolan
Jira Software,Determine severity of LimaCharlie detections and triage,"Jira Software, LimaCharlie, Slack",21,null
Jira Software,Cleanup inactive users in AWS IAM,"AWS, Jira Software",43,null
Jira Software,Retrieve new alerts from Microsoft Defender and create issues in Jira,"Jira Software, Microsoft Azure, Microsoft Defender",21,Michael Tolan
Jira Software,Look for & remediate new breaches using Recorded Future,"Jira Software, PagerDuty, Recorded Future",24,null
Jira Software,Create issues utilizing custom fields in Jira,Jira Software,5,null
Jira Software,Query AWS IAM users in groups,"AWS, Jira Software",5,Shaun Finn
Jira Software,Create shift handover notes in Confluence and send reminders in Slack,"Confluence, Jira Software, Slack",13,Michael Tolan
Jira Software,Create and escalate Jira issues for GitHub Advanced Security findings,"GitHub, Jira Software, Slack",6,Conor Dunne
Jira Software,Search Jira for open SLA breaches,Jira Software,22,Nick Page
Jira Software,Receive & remediate SNS notifications from AWS Config,"AWS, Jira Software",43,Shaun Finn
Jira Software,Fetch & record significant vulnerabilities from Qualys Container Security,"Jira Software, Qualys",13,Aaron Sandow
Jira Software,Manage Jira issues via Slackbot,"Jira Software, Slack",94,null
Jira Software,Retrieve & enrich IOCs across multiple platforms,"Cybereason, Jira Software, PassiveTotal, Recorded Future, Slack",14,null
Jira Software,Enrich CrowdStrike detections with Active Directory and correlate in Jira tickets,"CrowdStrike, Jira Software, Microsoft, Microsoft Azure",24,null
Jira Software,Close similar issues in Jira,Jira Software,13,Michael Tolan
Jira Software,Correlate data across Jira issues,Jira Software,14,null
Jira Software,Sensitive files shared to personal email,"Jira Software, Slack, Splunk",26,Brandon Buhrs
Jira Software,Process CrowdStrike detections with Intezer,"CrowdStrike, Intezer Analyze, Jira Software, Slack",22,Aaron Sandow
Jira Software,Search Jira for Issues,Jira Software,8,Michael Tolan
Jira Software,Message into Slack based on Jira queries,"Jira Software, Slack",8,Michael Tolan
Jira Software,Receive password breach alerts from SpyCloud and secure accounts,"CrowdStrike, Jira Software, Okta, SpyCloud",23,Conor Dunne
Jira Software,Onboard users to OctoPerf via Slack or Jira,"Jira Software, OctoPerf, Slack",29,null
Jira Software,Fetch rule results from Recorded Future Attack Surface Intelligence & open Jira tickets,"Jira Software, Recorded Future, Slack",31,Aaron Sandow
Jira Software,Respond to & configure Terraform Cloud run task,"HashiCorp, HashiCorp Terraform, Jira Software, Slack",16,null
Jira Software,Manage Jira custom fields and individual issue values with Pages,Jira Software,21,Conor Dunne
Jira Software,Respond to Okta alerts with Mattermost & Jira,"Jira Software, Mattermost, Okta",20,null
Jira Software,Remediate AWS IAM alerts detected with Wiz using Slack and Jira,"AWS, Jira Software, Slack, Wiz",36,Conor Dunne
Jira Software,Receive and Remediate Security Hub S3 findings from Amazon Security Lake,"AWS, Jira Software",13,null
Jira Software,Manage Logz.io SIEM Alerts,"Jira Software, Logz.io",5,null
Jira Software,Scheduled rotation & tracking for AWS Access Keys in Drata,"AWS, Drata, Jira Software",29,null
Jira Software,Report and lock lost devices in Jamf with Okta SSO,"Jamf Pro, Jira Software, Okta, Slack",28,Sakil Khan
Jira Software,Push incidents from Jira to Drata,"Drata, Jira Software",4,null
Jira Software,Reduce manually blocked items from Sophos Central in favor of auto-blocking,"Jira Software, Sophos",38,Nate Adams
Jira Software,Download Code42 Cases,"Code42, Jira Software",7,null
Jira Software,Enrich & document Recorded Future alerts,"Jira Software, Recorded Future, Slack",26,null
Jira Software,Analyze vulnerabilities from JupiterOne by source account using Tines Cases,"Jira Software, JupiterOne, Slack",15,null
Jira Software,Use a Tines Page to analyze known vulnerabilities from Tenable,"Jira Software, Slack, Tenable Vulnerability Management",12,null
Jira Software,Query Shodan for findings and alert on them using Slack and Jira,"Jira Software, Shodan, Slack, Splunk",11,null
Jira Software,Close Jira tickets if JupiterOne vulnerabilities are resolved,"Jira Software, JupiterOne",17,null
Jira Software,Enrich clicked URLs from Proofpoint and block with Zscaler,"AbuseIPDB, Jira Software, Proofpoint, URLScan.io, Zscaler",13,Michael Tolan
Jira Software,Retrieve alerts from Microsoft Defender for Cloud and create detailed issue in Jira,"Jira Software, Microsoft Azure, Microsoft Defender",20,Michael Tolan
Jira Software,"Investigate a URL with URLScan, create a ticket in Jira and take action","AbuseIPDB, CrowdStrike, Jira Software, NextDNS, Phish Report, URLScan.io",41,null
Jira Software,Investigate and remediate malware with CrowdStrike FalconX and Microsoft Defender,"CrowdStrike, Jira Software, Microsoft Defender, Slack",34,null
Jira Software,Use auto-submitting pages to capture user data and update Jira,Jira Software,6,Michael Tolan
Jira Software,Comment on Jira issue if email subject contains issue key,Jira Software,7,Michael Tolan
Jira Software,Request updates to stale Jira issues,Jira Software,11,null
Jira Software,Request and approve access to new tools with an audit trail,"AWS, GitHub, Jira Software, Okta, Slack",31,Michael Tolan
Jira Software,Graph issue response and closure times for a project in Jira,Jira Software,27,null
Jira Software,Provide a password reset page in Tines,"Jira Software, Okta, Slack",18,Michael Tolan
Jira Software,Deallocate and delete unnecessary virtual machines in Azure and raise tickets,"Jira Software, Microsoft, Microsoft Azure",27,Michael Tolan
Jira Software,Raise Jira requests using Tines Pages and notify Slack,"Jira Software, Slack",8,Michael Tolan
Jira Software,Process OT detection alerts in Claroty and document in Jira,"Claroty xDome, Jira Software",11,null
Jira Software,Detect and remediate malware issues in Wiz with SentinelOne and The Hive,"AWS, Jira Software, SentinelOne, Wiz",22,null
Jira Software,Review Snyk organization findings with Jira issues,"Jira Software, Snyk",66,Andrew Orr Ewing
Jira Software,Create issues in Jira for Sysdig vulnerability findings,"Jira Software, Sysdig",13,null
Jira Software,"Ingest Opsgenie alerts, enrich data, and create Jira issue with notifications in Slack","Jira Software, Microsoft, OpsGenie, Qualys, Slack, URLScan.io, VirusTotal",16,null
Jira Software,Monitor website certificates for expiration,"APIVoid, Jira Software, Slack",26,Conor Dunne
Jira Software,Handle cloud compliance notifications with Sysdig,"Jira Software, Sysdig",4,null
Jira Software,Generate SecurityScorecard issue report and create Jira tickets for new issues,"Jira Software, Security Scorecard",9,Conor Dunne
Jira Software,Monitor Digital Shadows alerts by tracking and updating within Jira,Jira Software,15,null
Jira Software,Automate Response to Data Risk with Tines and Code42 Incydr,"Code42, Jira Software, Okta",13,null
Jira Software,Manage CyberArk access requests using Slack,"CyberArk, Jira Software, Slack",23,Conor Dunne
Jira Software,Disable AWS User from Hunters Alert with Jira prompt,"AWS, Hunters SOC Platform, Jira Software",13,null
Jira Software,Manage Sharepoint sites,"Jira Software, Microsoft, Microsoft Teams",20,Shaun Finn
Jira Software,Group related issues in Jira,Jira Software,10,null
Jira Software,Remediate vulnerabilities identified by AWS Inspector v2,"AWS, Jira Software",16,null
Jira Software,Analyze quality of issues in Jira with Tines pages and records,Jira Software,16,Michael Tolan
Jira Software,Analyze email attachment hashes from Sublime Security with VirusTotal,"Jira Software, Sublime Security, VirusTotal",33,Michael Tolan
Jira Software,Isolate & remediate AWS EC2 instance based on IOC,"AWS, Jira Software, Slack",23,null
Jira Software,Discover inactive Service Accounts in Google Cloud,"Google, Jira Software, Slack, Wiz",13,null
Jira Software,Lookup third-party domain in Recorded Future,"Jira Software, Recorded Future, Slack",20,Aaron Sandow
Jira Software,Log Tines action failures and create issues to track,"Jira Software, ServiceNow",8,Michael Tolan
Jira Software,Notify Microsoft Teams when issues in Jira have not been triaged,"Jira Software, Microsoft Teams",11,Michael Tolan
Jira Software,"Remove a user account in Microsoft Entra ID, BambooHR, AWS, and Slack","AWS, BambooHR, Jira Software, Microsoft Azure, Slack",20,Michael Tolan
Jira Software,Contain devices identified by CrowdStrike Falcon Overwatch,"CrowdStrike, Jira Software",17,Michael Tolan
Jira Software,Routinely sync Jira issue details with DynamoDB,"AWS, Jira Software",10,Michael Tolan
Jira Software,Manage Okta user groups and create Jira tickets via Slack,"AWS, Jira Software, Knowbe4, Okta, Slack",140,Sandeep Kumar
Jira Software,Manage Okta login threshold limit in Jira via Slack,"Jira Software, Okta, Slack",15,null
Jira Software,Get host log alerts from Devo SIEM,"Devo, Jira Software, Slack",10,null
Jira Software,Analyze Bugcrowd submissions with OpenAI and track in Jira,"Jira Software, OpenAI",4,Michael Tolan
Jira Software,Monitor Azure application secrets for expiration and alert,"Jira Software, Microsoft Azure, Slack",10,Michael Tolan
Jira Software,Retrieve Google Security Command Center findings and create issues in Jira,"Google, Jira Software",12,Conor Dunne
Jira Software,Create and sync issues in Jira from data in Google Sheets,"Google Sheets, Jira Software",18,Michael Tolan
Jira Software,Isolate machines based on malicious Cybereason Malops and track in JIRA,"AbuseIPDB, Cybereason, Jira Software",21,null
Jira Software,Disable Google Accounts based on SpyCloud breaches,"Google, Jira Software, SpyCloud",19,SpyCloud
Jira Software,Create issues in Jira from alerts in Cybersixgill and notify with Slack and email,"Cybersixgill, Jira Software, Slack",4,null
Jira Software,Search for and remediate inactive AWS accounts from JupiterOne,"AWS, Jira Software, JupiterOne, Slack",14,null
Jira Software,Find & remediate public AWS S3 buckets with Veza and add evidence to Drata controls,"AWS, Drata, Jira Software, Veza",20,null
Jira Software,Standardize and enrich EDR alerts across platforms,"CrowdStrike, Jira Software, Slack, VirusTotal",26,Shaun Finn
Jira Software,Assign New Okta Administrator Role to Okta from BambooHR through Opal,"BambooHR, Jira Software, Okta, Opal",16,null
Jira Software,"Sysdig Cloud Detection, Document with Jira, and Respond with Tines","AWS, GreyNoise, Jira Software, Kubernetes, Sysdig, Tines",40,Manuel Boira
Jira Software,Distributed Alerting Slackbot with 2FA,"Jira Software, Slack, Sumo Logic",99,Jamison Bigham
Jira Software,Search for & remediate public AWS S3 buckets with Veza,"AWS, Jira Software, Veza",13,null
Jira Software,Manage Entro exposure notifications via Slack and Jira,"Entro Security, Jira Software, Slack",13,Yehonatan Tsirolnik
Jira Software,Send a customised daily briefing in Slack,"Google Calendar, Jira Software, Slack",26,Michael Tolan
Jira Software,Receive malware events from Azure Event Grid and remove files from Azure Blob Storage,"Jira Software, Microsoft Azure",12,Michael Tolan
Jira Software,Create posts in Workplace from Meta,"Jira Software, Meta, Workplace",3,Michael Tolan
Jira Software,Offboarding users to OctoPerf via Pages and Jira,"Jira Software, OctoPerf",27,null
Jira Software,Receive virtual machine deployment events from Azure Event Grid and alert in Slack and Jira,"Jira Software, Microsoft, Microsoft Azure, Slack",10,Michael Tolan
AWS,Investigate AWS issues with CLI data using agents,"AWS, Tines",14,Michael Tolan
AWS,Create and use temporary credentials in AWS using Assume Role,"AWS, Tines",4,Kelsey Salman
AWS,Backup Tines tenant data to AWS S3,"AWS, Tines",41,Haley Kidd
AWS,List EC2 instances in AWS,AWS,11,Michael Tolan
AWS,Find & remediate publicly exposed S3 buckets with Wiz,"AWS, Jira Software, Slack, Wiz",13,null
AWS,Investigate & remediate Lacework alerts,"AWS, Jira Software, Lacework",25,null
AWS,Detect and remediate malware issues in Wiz with SentinelOne,"AWS, Jira Software, SentinelOne, Wiz",21,null
AWS,Check if new AWS GuardDuty findings are malicious,"Amazon GuardDuty, AWS, Jira Software, URLScan.io",27,null
AWS,"Detect, log and remediate AWS alerts with Orca Security and Jira","AWS, Jira Software, Orca Security, Slack",21,null
AWS,Detect and Block Bucket Public Access Policy with Cyera.io and AWS,"AWS, Cyera, Jira Software",11,null
AWS,Ingest Tines audit logs into AWS S3 Bucket,AWS,7,null
AWS,Receive alerts for public S3 buckets & make private,"AWS, Slack",12,null
AWS,Track AWS GuardDuty alerts in Jira and remediate,"Amazon GuardDuty, AWS, Jira Software",18,null
AWS,Search for & remediate public AWS S3 buckets with JupiterOne,"AWS, Jira Software, JupiterOne",10,null
AWS,Monitor and deactivate long-lasting AWS IAM keys,AWS,12,Michael Tolan
AWS,Deactivate stale AWS access keys discovered by Wiz,"AWS, ServiceNow, Slack, Wiz",17,Derek Wohlfahrt
AWS,Chat with AWS Bedrock in Slack threads,"AWS, Slack",10,Michael Tolan
AWS,Detect and remediate high AWS EC2 CPU usage with Elastic Observability and document with Tines cases,"AWS, Elastic, Tines",27,null
AWS,Save Tines Story in AWS S3,AWS,5,null
AWS,Cleanup inactive users in AWS IAM,"AWS, Jira Software",43,null
AWS,Assume a new AWS role and execute commands using Boto3,AWS,3,null
AWS,Query AWS IAM users in groups,"AWS, Jira Software",5,Shaun Finn
AWS,Remediate compliance violations with Lacework,"AWS, Lacework, Slack",12,null
AWS,Receive & remediate SNS notifications from AWS Config,"AWS, Jira Software",43,Shaun Finn
AWS,Extract text from a PDF or image with AWS Textract,AWS,38,null
AWS,Add JA3 client blocklist from Abuse.ch to AWS firewall rule,"Abuse.ch, AWS",17,null
AWS,Identify EC2 instances missing tags and configure them with a Tines page,"AWS, Slack",10,Conor Dunne
AWS,Export recent Okta logs to AWS S3,"AWS, Okta",10,null
AWS,"Create, update and run AWS Lambda functions",AWS,39,null
AWS,Utilize AWS Lambda functions,AWS,1,null
AWS,Alert on AWS Backup changes and record in CodeCommit,"AWS, Slack",32,Conor Dunne
AWS,Automate AWS Account onboarding to Zanshin,AWS,12,null
AWS,Query AWS CloudTrail for a user's recent API calls,AWS,11,null
AWS,Manage AWS Inspector findings with ServiceNow,"AWS, ServiceNow",11,null
AWS,Create snapshot and isolate a compromised AWS instance,AWS,25,Conor Dunne
AWS,Manage temporary EC2 instances for development and testing and send notifications in Slack,"AWS, Slack",95,null
AWS,Rotate AWS IAM access keys and update Tines credentials,"AWS, Slack, Tines",16,Michael Tolan
AWS,Remediate AWS IAM alerts detected with Wiz using Slack and Jira,"AWS, Jira Software, Slack, Wiz",36,Conor Dunne
AWS,Receive and Remediate Security Hub S3 findings from Amazon Security Lake,"AWS, Jira Software",13,null
AWS,Scheduled rotation & tracking for AWS Access Keys in Drata,"AWS, Drata, Jira Software",29,null
AWS,Real-Time API Threat Detection and Mitigation with Traceable.ai and AWS WAF,"AWS, Tines, Traceable.ai",14,null
